Label,Text
depressive,পড়াশোনা করে মনে হচ্ছে নিজের বিপদ নিজেই ডেকে এনেছি। এমন একটা জীবন কখনো আশা করিনি। জানি শেষ কোথায় কাকে বুঝাবো
non_depressive,এসবের জন্য বিশ্ব স্বাস্থ্য সংস্থা সরকার দ্বায়ী।
depressive,মামা তার ভাগিনা বউকে পেটায়
non_depressive,"দুই শত্রুর মধ্যে এমন ভাবে কথাবার্তা বল , তারা পরস্পরে মিলে গেলেও যেন তোমাকে লজ্জিত হতে না হয় । শেখ সাদী রা "
depressive,বাংলা মুভির রোমান্টি সুর রু রু রু রু রু রু রু রুরুরু রু রু রুরুরুরুরু আর ইস্টার জলসার রাগারাগির সুর দুমতানা না না না দুমতানা না না না দুমতানা না না না 
non_depressive,উচ্চ শিক্ষিত হওয়া দেশে বড় পাপ।
depressive,পাকিস্তান বাংলাদেশের উন্নয়ন দেখে প্রশংসা করে অন্যদিকে বাংলাদেশের অভ্যন্তরে পাকিস্তানি একদল সমর্থক বলে বাংলাদেশ নাকি রসাতলে গেছে। বুঝো নাই ব্যাপারটা।
non_depressive,বাইকের স্পিড মনে উপরে ছিল তাই বাস বাইকের সংঘর্ষ
depressive,রুচির দুর্ভিক্ষের কারনে পরিচিতি পাওয়া ইউটিমার।
non_depressive,"নিষিদ্ধ জিনিসের প্রতি আমাদের একটা প্রবল আকর্ষণ কাজ করে , তাইতো তাকিয়ে থাকা আর ডেকে রাখার মতো একটা রোগ আছে আমাদের কানা বাবু"
depressive,কষ্টে আছি দিন পরে ফাইনাল পরীক্ষা কিছু পারিপার্শ্বিক কারণে Depression গ্রাস করেছে।
non_depressive,ইনশাআল্লাহ লবন মাটিতে ভালো হবে
depressive,১৯৭৬ সালে গবেষণা শুরুর পর অবশেষে পানির অস্তিত্বের ব্যাপারে অনেকটাই নিশ্চিত হল বিজ্ঞানীরা । এবার কি তবে প্রাণের অস্তিত্ব মিলবে ? 
non_depressive,অনেক দিন আগের কথা। একবার নানীর বাড়ি গেছিলাম। নানী কইছিলো দেখবি কিছু লোক হুদাই তোর কমেন্ট পড়বে সময় নষ্ট করবে
depressive,নিজের একটি চোখ বিক্রি করে আইফোন কিনে সবাইকে দেখিয়ে বেরাচ্ছেন আমাদের নিমা পরোটা বাবা কান্না সারা দেশের
non_depressive,রাশেদুল পূর্বে কোন রাজনৈতিক দলের কর্মী ছিলো জাতি জানতে চায়।
depressive,আমি সময় অনুমান করি আমি অন্যের জন্য পর্যাপ্ত নই।হতাশা দুচিন্তা বেকারত্বের প্রধান কারণ।
non_depressive,আলহামদুলিল্লাহ আমি একটি টিকাও নেইনি
depressive,জীবনের অজানা পথে আমি একটি হারিয়ে গেছে মনে হয়।টাকা থাকলে শান্তিতে মরাও যায় ভাই। এটাই সত্যি
non_depressive,"এই পৃথিবীতে আমরা , কে কতোদিন বেঁচে থাকবো , এটা গুরুত্বপূর্ণ কোনো বিষয় না । গুরুত্বপূর্ণ বিষয় হলো , মানুষের মনে আমরা , কতোদিন বেঁচে থাকবো । "
depressive,মৃত্যু সত্যি হৃদয়বিধায়ক
non_depressive,এরা কারা এদেরকে জীবনে প্রথম দেখলাম
depressive,ডিপ্রেশন কতটা ভয়ানক শুধু তারাই জানে যাদের সমস্যা হইছে প্রতি মিনিটে মৃত্যু একজন মানুষের
non_depressive,ফয়সাল মাহমুদ ভাল বলছো।
depressive,এখন খয়রাত করুক সকলে মিলে
non_depressive,জয়টা দলের জন্য খুবই দরকার ছিলো : মাশরাফি : 
depressive,আমি টিকার কারনেই বিভিন্ন চর্ম রোগে ভুগতেছি। করব এখন বুঝতেছি
non_depressive,"একটা পুরুষ পরিপূর্ণ আর্থিক , মানসিক ফিট না হওয়াপর্যন্ত বিয়ে করা কোনভাবেই উচিৎ না তবে এটা ছেলে ও মেয়ে উভয়ের জন্যই প্রযোজ্য । পুনশ্চঃ জীবনে চলার জন্য পরিমিত অর্থের প্রয়োজন । কম বা বেশী দুটোই সমস্যা সৃষ্টি করে । মনে রাখতে হবে টাকা দিয়ে অনেক কিছুই হয় সবকিছু নয় । "
depressive,আমার মনের গভিরে সে এখোনো বাস করে ছুতে গেলেই হারিয়ে যায় কোনো অচিন আজানা পথে তুমি আছো ছিলে থাকবে এই মনেরও ঘরে এখোনো সময় অনেক বাকি হারিয়ে যাওয়া তুমি সেটা জানো কি ? সু হা
non_depressive,গুনাহের যদি কোন গন্ধ থাকতো তাহলে আমরা কেউ পাশাপাশি বসতেও পারতাম না । পাশাপাশি বসা তো দূরে থাক আমরা কয়েশ মেইল দূরে যেয়েও গন্ধমুক্ত থাকতে পারতাম না । আজকাল গুনাহের কাজ গুলো আমাদের কাছে খুব সহজ আর অভ্যাসে পরিণত হওয়া কাজ 
depressive,লোর্ড কর্জন করতে পারলো এরা করে দিল
non_depressive,"একাকিত্ব মানে এই না যে , আপনার পাশে কেউ নেই একাকিত্ব মানে হলো আপনার পাশে সবাই আছে কিন্তু আপনি যাকে চান শুধু সে নেই"
depressive,বাসের তলায় পিষছে মানুষ হাসছে নরপিশাচ তিন তিনটা লাশ পরেছে কির পোলা লাশ চাস
non_depressive,কিছু কাজকে ছোটো করে দেখা রিস্ক নেয়ার প্রবণতা থাকাও বেকারত্বের কারণ।
depressive,বাঙালি তোদের ছেড়ে দেবে ভেবেছিস বাংলাপক্ষ জয়বাংলা
non_depressive,আলহামদুলিল্লাহ্‌ আমি মুক্তি পাইছি।
depressive,মাননীয়া মুখ্যমন্ত্রীর দলের তৈরি বোমাও এখন বাংলার শিল্প সার্টিফিকেট দিয়ে আমি করবো মনে চায় মরে যাই
non_depressive,"আপনার সন্তান যদি আপনার জন্য দোয়া করতে না পারে , হুজুর আনিয়ে বকশিস দিয়ে দোয়া করাতে হয় ? তবে জেনে রাখুন নিঃসন্দেহে আপনার পিতৃত্বের জীবন বৃথা । "
depressive,কিছু বাবা শুধু জন্ম দিতেই জানে সন্তানদের কখনোই বুঝে
non_depressive,"সব ভালোবাসা প্রেম নয় , কিছু ভালোবাসা বন্ধুত্বও হয় ! "
depressive,"আমার পোস্টে একটা ছেলে আর একটা মেয়ে রিপ্লাই দিতে দিতে রিলেশন হয়ে গেছে আজ ওদের বিয়ে আর আমি এখনো সিঙ্গেল কিছুই বলার নাই , সবই কপাল"
non_depressive,সত্যি নাটকটা অসম্ভব সুন্দর
depressive,নাটকটা দেখে মনে হলো। আল্লাহ যদি দিতৃীয় বার সুযোগ দিতো। আমি মানুষটাকে চাইতাম। যেটা আমার আল্লাহ ছাড়া কেউ যানে না।
non_depressive,মহাসড়কের পাশে বাস ট্রাক রাখতে দেখা যায়। এগুলো দেখায় কেউ নাই।
depressive,ছোট্ট পৃথিবীতে আমি দুইটা দেশকে বেশি ঘৃণা করি
non_depressive,ওদের জামিন দিয়ে দেশ অলংকৃত করবেন না।
depressive,পৃথিবীর সবচেয়ে সম্পদ হলো বাবা যার নেই বুঝে তার মূল্য কতো
non_depressive,ইসলামের ছায়াই জীবন পরিচালনা করলেসবাই পরিবার পরিজনকে ভালোবাসতে শিখেবিচ্ছেদ মতো পাপ থেকে দূরে রাখে
depressive,আমি সময় অনুমান করি আমি নিজের সাথে সন্তুষ্ট নই।আমি সময় অনুমান করি আমি যেটা প্রয়োজন তাতে আমি সেটা করতে পারবো
non_depressive,বাঙালি হলে সুন্দর নাটকগুলো মিস হয়ে যেত
depressive,আমি রোগে আক্রান্ত ছিলাম
non_depressive,হ্যালো মটর কাঞ্চন স্যার আপনি এসব চোখে দেখেন
depressive,আমি সময় অনুমান করি আমি অন্যের জন্য পর্যাপ্ত নই।আমি সময় অনুমান করি আমি যেটা প্রয়োজন তাতে আমি সেটা করতে পারবো
non_depressive,আমাদের কৃষকদের বাঁচাতে আসুন আমরা সবাই দেশি পিঁয়াজ কিনি
depressive,পৃথিবীর সবচেয়ে কষ্ট অবহেলা গোলা হলো পরিবারের দেওয়া কষ্ট একটা মানুষকে ড্রিপ্রাশনে যেতে বেশি দেরি করে
non_depressive,আইনের আওতায় আনা হোক
depressive,আমি সারাক্ষণ নিস্ਤজ লাগছি
non_depressive,আমি অর্নাস র্থ বর্ষে পড়ি বাট সাথে প্রাণ এলের কভার ভ্যান চালাই।
depressive,আমি জানি কিভাবে দুঃখ থেকে বের হতে পারবো।অনেক দিন ধরে আমি অশান্তির মধ্যে ভুগছি।
non_depressive,এদের বস্তি কন্টেন্ট দেখে কারা ভাই
depressive,সকালে উঠিয়া আমি মনে মনে চিল্লাই এতো বড় হইছি আমার নাই কিল্লাই গুদ মন্নিং
non_depressive,আমি টিকা দেইনিআলহামদুলিল্লাহ্ অনেক ভালো আছি।
depressive,সবগুলা বিশ্বাসঘাতক দেশদ্রোহীদের নিয়ে যান
non_depressive,"হে আমাদের রব , আমাদের উপর বোঝা চাপিয়ে দেবেন না , যেমন আমাদের পূর্ববর্তীদের উপর চাপিয়ে দিয়েছেন । হে আমাদের রব , আপনি আমাদেরকে এমন কিছু বহন করাবেন না , যার সামর্থ্য আমাদের নেই । আর আপনি আমাদেরকে মার্জনা করুন এবং আমাদেরকে ক্ষমা করুন , আর আমাদের উপর দয়া করুন । সূরা বাকারা : ২৮৬ "
depressive,সব থেকে বিরক্তিকর ব্যাপার হচ্ছে যখন ঘুম থেকে উঠে বুঝতে পারলাম আমার প্রচন্ড মাথা ব্যথা এই মাথা ব্যথা নিয়ে পড়ছি শত ঝামেলায় এখন ট্যাবলেট টা খেয়ে ঝিম মেরে শুয়ে থাকবো বিদায় পৃথিবী 
non_depressive,বাংলা সিনেমার বেশিরভাগই ফ্লপ
depressive,লেখাটি পড়ে আমার অত্যন্ত বেদনার ঘোরে পড়েছে। আসুন দেশটাকে গিলে খাই ভাত উপর চাপ কমাই
non_depressive,আলহামদুলিল্লাহ বিদেশে থেকেও টিকা দিনাই কিসের টিকা আল্লাহ বাঁচালে বাচবো আল্লাহ ভরসা
depressive,সরকার আবার রেমিটেন্স আশায় বসে থাকে। রেমিটেন্স যোদ্ধাদের সাথে এরকম অসভ্য আচরণ বন্ধ হলে দেশে ভয়াবহ অর্থনৈতিক ক্ষতির আশঙ্কা আছে।
non_depressive,বাংলা ডেলা সামলা
depressive,আমাদের দেশে সাংবাদিক রাই বেশি বেকার
non_depressive,দেশের জনগন চায় চায় এটা সরকারের জানা উচিত
depressive,ডিপ্রেশনের জন্যই আমি ক্রমেই শেষ হয়ে যাচ্ছি
non_depressive,ব্যাবসা সফল হইবো এইবার
depressive,আমাদের সবার জীবনে ছোট প্রেমের সূত্রপাত ঘটে কারো প্রেম বৃষ্টি দিয়ে শুরু কারো প্রেম বৃষ্টি দিয়ে শেষ৷
non_depressive,"তামিম ভাইয়ের আন্তর্জাতিক ক্যারিয়ারে বিশতম সেঞ্চুরি , ম্যাশের ঝড়ো ইনিংস এবং শেষে রিয়াদ ভাইয়ের সেরা ফিনিশিং । তামিম্ভাই , র ্যাদ্ভাই , এবং প্রিয় ম্যাশ , আইলাবিউ ভায়া । "
depressive,বিশ্রী শহরে থাকতে চাইনা আমি
non_depressive,শিক্ষিত ছেলে মেয়েদের বিদেশে যাওয়ার করে প্রশিক্ষণ দিয়ে মানবশক্তি রফতানি করে দেওয়া উচিত।
depressive,বাংলাদেশ হিন্দু ছিলো  সালে  সালে হিন্দু বেঁচে আছে
non_depressive,তাকে জানতে আসরয় দেন
depressive,আমারো সমস্যা হয়েছে বুকের মধ্যে ব্যাথা করে। বিশেষ করে ঘুম থেকে উঠলে বুকের মধ্যে ব্যাথা অনুভব করে। শরীরের বাম পাশের হাড্ডী ব্যাথা করে।
non_depressive,বাংলাদেশে যেন একটা  কোটির সিনেমা বানিয়েছিল
depressive,প্রতিবেদনটি যদি দেখে থাকেন পাকিস্তানের নির্বাচনে কেন দেশটির সুফি নেতা পীররা গুরুত্বপূর্ণ
non_depressive,দেশে কোন কারেন্ট যায় না
depressive,এই ছবি গুলো ভাইরাল হয় না কেন পরোটা বাবা 
non_depressive,অবশেষে কাজী ইব্রাহিম সাহেবের কথাই সঠিক হলো
depressive,সিনেমায় এরা মরা মরা নাম ব্যবহার করার করনে অবস্থা
non_depressive,বঙ্গবন্ধুর আদর্শের সৈনিক
depressive,"বালিকা লুকোচুরি করে নয় , নাটক করে নয় , অভিনয় করে নয় , তোমাকে বলতে চাই , কিন্তু আমার ভয় করে । । "
non_depressive,রাশেদুল পূর্বে কোন রাজনৈতিক দলের কর্মী ছিলো জাতি জানতে চায়।
depressive,"কিছু করার নাই , আওমীলীগের পুরান অভ্যাস চারতে পারে না , বাবা মেয়ে করছে এখন যদি নেতারা না করে দলে বদনাম হবে কয়লা যদি বাতাসের সাথে উরে যাইতে পারে ভোট তেমন গঠনা না"
non_depressive,এইরকম নেতা অনেক আছে প্রতি এলাকায়
depressive,দ্বিতীয় ডোজ হাতে দিয়েছি মাঝে মাঝে খুব কষ্ট অনুভব হয়
non_depressive,আলহামদুলিল্লাহ তিনটা নেওয়ার পরও সুস্থ আছি আল্লাহর কাছে লাখ লাখ শুকরিয়া
depressive,জুম্মা মোবারক নামাজের একটা সেল্পি সবাই লাইক কমান্ড কলেন
non_depressive,মোমবাতি দিয়ে চন্দ মনে রাখতে চাই অসাধারণ।
depressive,আমি সময় অনুভব করি আমি কাউকে পছন্দ করতে পারছি এবং আমার সম্পর্কে কেউ চিন্তা করে না।হতাশা দুচিন্তা বেকারত্বের প্রধান কারণ।
non_depressive,অসাধারণ একটি নাটক ছুয়ে গেল
depressive,নাটক দেখি বিনোদনের জন্য অবসর সময় কাটানোর জন্য একটু রোমান্টিক মুড থাকার জন্য এখন নাটক দেখে পুল ডিপ্রেশন চলে যাচ্ছি
non_depressive,আমার কিছু সমস্যা হয়েছে।যার কোনো উৎস পাওয়া যায় নি।এখন বুঝতে পারলাম।
depressive,রাজনৈতিক অস্থিরতাঅর্থনৈতিক সংকটসামাজিক বৈষম্য পারিবারিক টানাপোড়ন এগুলোই নাগরিক জিবনের অভিশাপ। বাংলাদেশেই সবচেয়ে বেশি
non_depressive,তারে আইনের আওতায় এনে কঠিন শাস্তি দেওয়া উচিত
depressive,"আমি চাঁদ দেখে হিংসায় মরে যাবো , পাশের ব্যালকনিতে স্বপ্ন বোনা মেয়েটা মুচকি হাসুক । আমি নাহয় অসহ্য একটা চাপা ক্রোধের হিসেব চালাবো ঈশ্বরের সাথে , কিছু অফ হোয়াইট কাগজে কড়া ডোজের তালিকা ! এভাবেও ভাল থাকে , ঠিক থাকে আলবৎ থাকে ! "
non_depressive,কখনো আয়নার সামনে দাঁড়িয়ে নিজের প্রেমে পড়েছিলেন 
depressive,শেষে যেভাবে জড়িয়ে ধরেছে স্বামী স্ত্রী এইভাবে ধরেনা বুকের ভেতর ঢুকিয়ে ফেলেছে।
non_depressive,জীবন এবং নাটক দুটোই আলাদা কিন্তু নাটটির প্রতিটি লাইনি খুবই সুন্দর ছিল।
depressive,দেশের হাসপাতালের চিকিৎসাতো চেয়েও বাজে
non_depressive,খুব ভালো লাগলো ভিডিও
depressive,এবার শিক্ষা ব্যবস্থা শেষ।
non_depressive,ইন্নালিল্লাহি ওয়া ইন্না রাজিউন আল্লাহ বান্দা আল্লাহর কাছে ফিরে গেছে ।এতে হতাশ হওয়ার কিছু নেই। নিজেকে শান্ত করুন
depressive,ধরনের প্রতিবেদন এখন কিছু মানুষ অসুস্থ হবে এগুলো এখন বলে লাভ
non_depressive,গ্রীন কার্ডে লাল সিগনাল।
depressive,বিশ্রী শহরে থাকতে চাইনা আমি হারিয়ে যেতে চাই তার শহরে ভয় হয় তার শহরে আবার জলাবদ্ধতা নেই
non_depressive,এবার পুজোয় কিশোর কুমার কার্নিভাল ! তার প্রস্তুতি পর্বে তুমুল ব্যস্ত সবাই । কিশোর কুমার জুনিয়র আসছে । 
depressive,দিনে দুপুরে যেখানে মানুষের অধিকার হরন হয়সেখানে ইরম আজাব হবে স্বাভাবিক
non_depressive,সাংবাদিকদের কোন কাজ কর্ম নাই এদের বেতন দেয়
depressive,"পৃথিবীর সবচেয়ে ক্ষমতাধর ব্যক্তি রাশিয়ার ভ্লাদিমির পুতিন , আর দ্বিতীয় ক্ষমতাধর ব্যক্তি নৌ মন্ত্রী শাহাজান খান । উনাকে ঠেকানোর ক্ষমতা আল্লাহ ছাড়া আর কারোও নেই । "
non_depressive,শুদু বলছিলাম বিয়া করমু বাকিটা সব ইতিহাস 
depressive,"আমার ছোটবেলা কখনই এমন ছিলো না , তখনও চার দেয়ালের মাঝে ! আজও আছি একই সাঝে ! "
non_depressive,কাহিনীর সাথে ডায়ালগুলো অসাধারণ
depressive,মনে রাখা যায় আমি কখনো সত্যিকারের খুশি হয়িতাম টাকা থাকলে শান্তিতে মরাও যায় ভাই। এটাই সত্যি
non_depressive,মহা গুরুত্বপূর্ণ সংবাদ যাহা দেশ জাতির জন্য মহা মূল্যবান
depressive,মুস দেকিয়া দর্সকরা পায় গঠন ভালা
non_depressive,আমাদের দেশের মানুষের কিছুই হবে কেননা ভ্যাকসিনে মিশ্রনের মাধ্যমে জনের ঠিকা  জনকে দেওয়া হয়েছে তাই আমরা সুস্থ
depressive,টাকায় অথচ টাকা চালের কেজি টাকায় চাউলের কেজি দেন ক্ষুধার্ত পেট ইন্টারনেট বুঝে সার্টিফিকেট দিয়ে আমি করবো মনে চায় মরে যাই
non_depressive,সরকার চাইলে কিছু সমভব।আমাদের দেশের অজুহাত অনেক
depressive,শহর ছাইড়া দিয়া গ্রামে গিয়ে চাষ করেন তাহলে দাম কমে যাবে
non_depressive,শর্টগান লাইসেন্স থাকলে মানুষের বুকে ঠেকিয়ে হুমকি দেওয়া কোন আইনে আছে
depressive,"পেঙ্গুইন যদি মন্ত্রী হয় ! তাহলে কাউয়া র দোষ কি ? সারাটা দিন ট্রমার মধ্যে গেছে , ভিডিও টা দেখার পর ঠিক থাকা অসম্ভব ছিল তখন । কি কপাল ছেলেমেয়ে গুলোর "
non_depressive,তার বক্তব্য কিছুতে বক্তব্য প্রকাশ করেন কিন্তু এক্ষেত্রে নেই কেন ভণ্ডামি
depressive,ভাইয়া আমরা শারীরিক প্রতিবন্ধী চাকরির হয় হবে কি। চাকরির ডাক পত্রিকা উল্লেখ করে যে। শারীরিক প্রতিবন্ধী পাবে কাছে প্রশ্ন
non_depressive,সাধারণ মানুষ খারাপ। খেতে যায় কেনো।সব গুলো ছোছা জীবনে খায়নি
depressive,দুদকের তদন্ত প্রতিবেদনঃ গায়েব নয় দাঁত মেজেই ১লাখ ৪৩ হাজার মেট্রিকটন কয়লা শেষ 
non_depressive,ইয়া আল্লাহ্ উত্তম মিমাংসাকারী
depressive,জীবন রেখে লাভ যদি ওদের টিমে থাকতে পারি
non_depressive,আজাইরা যুক্তি দেশের টাকার মান বেশি আমাদের টাকার মান কেনো
depressive,কিছু বলার নাইঅনেক কান্না করছি
non_depressive,মানুষ চলে নিঃশ্বাসে মন চলে বিশ্বাসে
depressive,চেখের পানি ধরে রাখতে পারলাম পুরো টিমকে অসংখ্য ধন্যবাদ
non_depressive,অনাকে আইনের আওতায় আনা উচিত এবং কঠোর শাস্তি দাবি করছি।
depressive,আখেরাতের পাসপোর্ট বেহেশতের ভিসা পরকালের পাসপোর্ট এই নাকি ধর্মের ব্যবসা 
non_depressive,টটিনী ইয়াশের ভক্তগুলারে দেখতে চাই
depressive,এদেশের নাগরিক হয়েও এদের নাম প্রথম শুনলাম।
non_depressive,এরা বলে নিজেরাই জানে না।পাচার বন্ধ করে।দাম বারালে সমাধান হবে
depressive,দিল্লিতে অনাহারে মৃত্যু বেআব্রু অাচ্ছে দিন তিন শিশুকন্যার দানা খাবার জোটেনি দিন
non_depressive,শিন্নির কলা ছড়ি শাহবাগিদের নিয়ে যাও
depressive,এপিসোট দেখে চোখ থেকে নিজের অজান্তে পানি বের হলো
non_depressive,আসুন আমরা সবাই সবাইকে সাপোর্ট করি
depressive,লিটার তেল নিয়ে বাজার থেকে নিরাপদে ফিরে আসায় সৃষ্টিকর্তা ধন্যবাদ। ভোগান্তি থেকে অচিরেই মুক্তি চাই।
non_depressive,বক্স কোথায় আছে সবাই কিছু দান করলে প্রোজেক্ট হাত থেকে বাচতো
depressive,", শান্ত বুকের তপ্তক্ষুনে শক্তমাটি রক্তলাল , মজলুমানের আর্তনাদে , আরশে আজিম কম্পমান ! মানবতা আজ দূর্বিপাকে , আবাসভুমি ঘোর শ্মশান ! "
non_depressive," নিজেকে অন্যের সামনে খোলা বই হিসেবে উপস্থাপন কোরো না অর্থাৎ নিজেকে অন্য কারও সামনে এমনভাবে তুলে ধরা উচিত নয় , যাতে নিজের ভেতরের সব কিছু অন্য কেউ জেনে যায় । এতে নিজের ভিতটা দুর্বল হয়ে পড়ে । "
depressive,ভাই তোমাদের মতো নিউজ চ্যানেলের কোনো নিউজ নাই ফালতু টোকাই পোলাপাইনরে নিয়াও নিউজ করা লাগে
non_depressive,তুমরা এমনিও লজ্জা হওয়া জাতনা
depressive,যাদের কলমের জোর আমাদের শহরকে রাঙিয়ে তুলেছে আলাদা আলোয় সার্টিফিকেট দিয়ে আমি করবো মনে চায় মরে যাই
non_depressive,মারুফ একটা নায়ক হইলো
depressive,জীবনে অনেক ব্যথা এসেছে কিন্তু কারো সাথে এটা ভাগ করতে পারিনি।
non_depressive,"অভিনন্দন বাংলাদেশ ক্রিকেট টিমকে সিরিজ জিতার জন্য সিরিজ নির্ধারনী ম্যাচে ওয়েস্ট ইন্ডিজ কে ১৮ রানে হারিয়ে ২ ১ সিরিজ জয় লাভ করেছে বাংলাদেশ যতোদিন মাশরাফির হাতে দেশ , পথ হারাবে না বাংলাদেশ বস ইজ অল ওয়েজ বস "
depressive,ডিপেসন এমন জিনিস যার আসে বুঝ আল্লাহ পাক ডিপ্রেশন থেকে সবাইকে হেফাজত করুন
non_depressive,"নিজের স্বপ্ন গুলো গলাটিপে খুন করে বলে ভাল আছি , ছেলেটার নাম মধ্যবিত্ত । "
depressive,জীবনের দুর্দশায় আমি নিজের হারিয়ে গেছি যেটি ফিরিয়ে পেতে অসম্ভব মনে হয়।অনেক দিন ধরে আমি অশান্তির মধ্যে ভুগছি।
non_depressive,সবই দেশে শিক্ষিত মানুষ বাড়ানোর উপায়
depressive,"আসানসোলের সাংসদ হওয়ার সত্ত্বেও রাজ ্য সরকার আয়োজিত অনুষ্ঠানে বারংবার আমাকে আমন্ত্রণ জানানো হয়নি । যার মধ্যে উল্লেখযোগ্য হল উদ্ধোধন , যে অনুষ্ঠানে বাংলাদেশ এর মাননীয়া প্রধানমন্ত্রীও ছিলেন । অবশ্য তৃণমূলের থেকে জির মত মহান মানসিকতা আশাও করা যায় না । "
non_depressive,যে সকল মেয়েরা একসাথে একাধিক প্রেমে লিপ্ত থাকে তারা মেয়ে নাহ তারা মাল্টি প্লাক 
depressive,আমি সময় আমার জীবনের প্রতিটি সময়ে আমার উপর অনুপ্রেরণা অনুভব করি না।
non_depressive,আগুনে জ্বলসে যাওয়া শরীরে ভয় নেই ভিতরে আছে কোমল অক্ষত হৃদপিণ্ড । 
depressive,আমি সময় অনুমান করি কেউ আমাকে ভালোবাসে এবং আমি হারিয়ে যাচ্ছি।হতাশা দুচিন্তা বেকারত্বের প্রধান কারণ।
non_depressive,মুভির ক্লিপ কেটে মিম বানানো হোক তাও যদি কয়টা টাকা ওঠে
depressive,৩ রানে হেরে গেল বাংলাদেশ । : 
non_depressive,বিয়ে কি ? জানার জন্য এক বিজ্ঞানী বিয়ে করেছিল এখন সেই বিজ্ঞানী ভুলে গেছে বিজ্ঞান কি ? 
depressive,পাহাড়িরা দিন দিন অনেক দূর্দর্শ হয়ে উঠেছে এখনোই যদি এদেরকে প্রতিহত করা তাহলে ভবিষ্যতে আমরা সাধারণ বাংগালীরা এদের কাছে প্রাণ দেয়া লাগবে
non_depressive,বিচার চাই জোর দাবি
depressive,আমি আপনি করলে হয় অপকর্ম মহাপুরুষেরা করলেই সেসব লীলা খেলা হয়ে যায়
non_depressive,এতদিন পরে পুরনো খবর প্রকাশ করাটা আরটিভির মানায়
depressive,নিকোটিনের ধোয়ায় সময় কাটে রাতে । রাতটা আমার জন্য দিন আর দিনটা রাত । 
non_depressive,আবার নাকি গোস্তো রান্না করে খেয়ে নিয়েছে আবার হাড়গোড় কোথা থেকে আসলো বন্ধুরা
depressive,আমাদের জীবনের সবচেয়ে অসুস্থ অবস্থা হলো মনের অন্ধকারে অবস্থা।এ কান্না সারা দেশের
non_depressive,সরকার যদি দেশের বেকারত্ব দুর করতে চায় আমার মতে প্রথমে দেশে কর্মসংস্থানের ব্যবস্থা করতে হবে।
depressive,আমি নিজেই আনেক দিন ডিপ্রেশনে আছি
non_depressive,খুবই মর্মস্পর্শী নাটক উপস্থাপনাও দারুণ। তটিনী অনেক পরিণত হয়ে উঠছে।  থেকে নাটক দেখছি এটাই pasttime আমার।
depressive,"গেলে তোমার আমার আরো ৪ ৫ টা সন্তান যাবে , ত বোও শাজাহান এর মন্ত্রীত্ব যাবেনা এটা সাফ মনে রাখো । আন্দোলন অবরোধ করে টরে কোন লাভ হবেনা এটা সাফ মনে রাখো । এইটা আমার বাংলাদেশ "
non_depressive,বর্তমানে অটো রিক্সার মতো সাংবাদিক বেশি হওয়ার কারণে অটোওয়ালারা যাত্রী পাচ্ছে না।
depressive,পাড়া ছেলে ব্যবসায়ী সুখি বিবাহিত জীবন কাটাচ্ছে। আমরা শিক্ষিত হয় ভয় পাই বলি নিজের পায়ে দাঁড়াতে বেকার বসে থাকতে
non_depressive,নারীরা বেশি বুঝে তাই। কাবিন কিছু মেয়েরা চাই পন্ডিতি করতে স্বাধীন ভাবে চলতে চাই।
depressive,আমি নিজে একজন মানুষ কিনা বিষন্নতাই ভুগতেছি
non_depressive,স্মার্ট বাংলাদেশ বইলা কথা
depressive,তিন লাখ টাকা
non_depressive,বাংলাদেশ আবার বক্স অফিস কোথায়
depressive,আমার জীবনে অনেক কিছু নষ্ট হয়ে গেছে সেই নষ্ট অনুভবে আমার হৃদয় খুবই বিক্ষিপ্ত।
non_depressive,আমি দুজন অভিনেতার অনেক নাটক দেখেছি কিন্তু শেষ কিছুদিন নাটক দুজনের অভিনয় আমাকে মুগ্ধ করেছে সত্যি খুব সুন্দর অভিনয়
depressive,যারা প্রধান দ্বায়িত্বে আছেন তারা দূনিতি নিয়ে আছেন ভাবে টাকা চুরি করা যায় জনগনের সুবিধা দেখে লাভ আছে
non_depressive,একটা টিকা নাই আলহামদুলিল্লাহ ভালো আছি
depressive,এটা কার হোম পেজ হতে পারে যেখানে শুধু মেয়েদের টুইট 
non_depressive,ডক্টর নাজনীন আহমেদ কথাগুলো খুবই যৌক্তিক এবং যথার্থ।
depressive,বিষন্নতা রোগের আমরা ভালো চিকিৎসা পাব কোথায় যদি কোন ভাইয়ের জানা থেকে তাহলে আমাকে অবশ্যই জানাবেন
non_depressive,মারুফকে একটা নোবেল দেয়া উচিত
depressive,আসালামলাই কুম ভাই নিজের টাকা বলে ভাবে মাল ছুরে মারে প্রবাসিদের ঘাম ঝরানো টাকা এগুলি বিটকেচ ভাই
non_depressive,টিভি মনে ভয়তেছিল রিপোর্ট করবে করবে গেছে সপ্তাহের খবর এখন করে
depressive,ফরিদপুর তিনজন মারা গেল তার কোন খবর নাই আছে অন্য খবর নিয়ে
